id,event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,description,veh_type,veh_no,corridor,priority,client_id,police_station,zone,junction,day_of_week,day_name,hour,minute,month,month_name,date,week_of_year,year,week_id,hour_ist,time_bucket,time_bucket_ist,is_named_corridor,cause_severity,corridor_id,event_cause_id,zone_id,veh_type_id,time_bucket_ist_id,time_bucket_id,risk_weight,weeks_present,recurrence_score
FKID000000,unplanned,13.0400041,77.5180991,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2024-03-07 17:01:48.111000+00:00,,closed,yes,s m circle in coming  man track,lcv,FKN00GL0000,Tumkur Road,High,1,Peenya,West Zone 1,,3.0,Thursday,17.0,1.0,3.0,March,2024-03-07,10,2024,10_2024,22,evening,night,1,1.0,19,11,9,4,5,5,1.5,1.0,0.0435
FKID000001,unplanned,12.9218755,77.6451585,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,2024-01-30 04:07:24.173000+00:00,,resolved,yes,Starting problem,heavy_vehicle,FKN00GL0001,ORR East 1,High,1,HSR Layout,East Zone 1,,1.0,Tuesday,4.0,7.0,1.0,January,2024-01-30,5,2024,5_2024,9,midnight,morning,1,1.0,12,11,2,2,4,4,1.5,6.0,0.2609
FKID000002,unplanned,12.955622,77.5857083,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",others,False,2023-11-11 06:18:03.343000+00:00,,closed,yes,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,unknown,,Non-corridor,Low,1,Wilson Garden,Central Zone 2,UrvashiJunction,5.0,Saturday,6.0,18.0,11.0,November,2023-11-11,45,2023,45_2023,11,early_morning,morning,0,0.8,11,4,1,10,4,4,1.0,22.0,0.9565
FKID000003,unplanned,13.0061469,77.5794348,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",tree_fall,True,2024-03-07 17:56:55.061000+00:00,,closed,yes,tree fall,unknown,,Non-corridor,Low,1,Sadashivanagar,Unknown,,3.0,Thursday,17.0,56.0,3.0,March,2024-03-07,10,2024,10_2024,23,evening,night,0,1.2,11,10,8,10,5,5,1.0,4.0,0.1739
FKID000004,unplanned,12.95398,77.5852333,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",vehicle_breakdown,False,2024-01-30 04:56:32.348000+00:00,,closed,yes,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,FKN00GL0002,Non-corridor,Low,1,Wilson Garden,Unknown,LalbaghMainGateJunc,1.0,Tuesday,4.0,56.0,1.0,January,2024-01-30,5,2024,5_2024,10,midnight,morning,0,1.0,11,11,8,6,4,4,1.0,21.0,0.913
FKID000005,unplanned,13.0664854,77.5998755,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",accident,False,2023-11-28 03:07:27.292421+00:00,,closed,yes,,unknown,,Non-corridor,Low,1,Hebbala,North Zone 1,,1.0,Tuesday,3.0,7.0,11.0,November,2023-11-28,48,2023,48_2023,8,midnight,early_morning,0,3.0,11,0,4,10,1,1,2.0,20.0,0.8696
FKID000006,unplanned,12.9328703,77.4879814,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",vehicle_breakdown,False,2024-01-30 07:26:26.739000+00:00,,closed,yes,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,FKN00GL0003,Non-corridor,Low,1,Kengeri,Unknown,,1.0,Tuesday,7.0,26.0,1.0,January,2024-01-30,5,2024,5_2024,12,early_morning,morning,0,1.0,11,11,8,1,4,4,1.0,21.0,0.913
FKID000007,unplanned,12.973175,77.6003961,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,False,2024-01-30 06:05:59.339000+00:00,,closed,yes,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,unknown,,Non-corridor,Low,1,Cubbon Park,Unknown,,1.0,Tuesday,6.0,5.0,1.0,January,2024-01-30,5,2024,5_2024,11,early_morning,morning,0,0.8,11,4,8,10,4,4,1.0,21.0,0.913
FKID000008,planned,12.97883573,77.59953728,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",public_event,False,,2024-02-12 14:05:46+00:00,closed,yes,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",unknown,,CBD 2,High,1,Cubbon Park,Unknown,QueensStatueCircle,,,,,,,NaT,0,0,0_0,5,unknown,early_morning,1,1.0,5,8,8,10,1,1,1.5,,
FKID000009,unplanned,13.0373543,77.6540442,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",vehicle_breakdown,False,2024-01-30 05:25:50.078000+00:00,,closed,yes,,lcv,FKN00GL0004,Non-corridor,Low,1,Hennuru,Unknown,,1.0,Tuesday,5.0,25.0,1.0,January,2024-01-30,5,2024,5_2024,10,early_morning,morning,0,1.0,11,11,8,4,4,4,1.0,21.0,0.913
FKID000010,unplanned,13.0008457,77.6813712,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",water_logging,False,2024-03-07 18:01:40.182000+00:00,,closed,yes,woter logging [PERSON] moment ph [PHONE],unknown,,ORR East 2,High,1,K.R. Pura,East Zone 2,,3.0,Thursday,18.0,1.0,3.0,March,2024-03-07,10,2024,10_2024,23,evening,night,1,1.5,13,13,3,10,5,5,1.5,1.0,0.0435
FKID000011,unplanned,12.94457,77.5274017,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",vehicle_breakdown,False,2024-01-30 05:21:06.975000+00:00,,closed,yes,,private_car,FKN00GL0005,ORR West 1,High,1,Byatarayanapura,West Zone 1,MysoreRd-RingRdJunc(Nayandanahallii),1.0,Tuesday,5.0,21.0,1.0,January,2024-01-30,5,2024,5_2024,10,early_morning,morning,1,1.0,16,11,9,7,4,4,1.5,6.0,0.2609
FKID000012,unplanned,12.9995223,77.6827499,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",water_logging,False,2024-03-07 18:00:05.020000+00:00,,active,yes,lorry undar pass woter logging trafick swol moment ph [PHONE],unknown,,ORR East 2,High,1,Mahadevapura,East Zone 2,,3.0,Thursday,18.0,0.0,3.0,March,2024-03-07,10,2024,10_2024,23,evening,night,1,1.5,13,13,3,10,5,5,1.5,1.0,0.0435
FKID000013,unplanned,13.0418933,77.594705,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",others,False,2023-12-26 19:15:28.124000+00:00,,closed,yes,Starting problem,unknown,,ORR North 1,High,1,Hebbala,North Zone 1,HebbalFlyoverJunc,1.0,Tuesday,19.0,15.0,12.0,December,2023-12-26,52,2023,52_2023,0,evening,midnight,1,0.8,14,4,4,10,3,3,1.5,12.0,0.5217
FKID000014,unplanned,12.975285,77.6256902,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",pot_holes,False,2024-03-07 19:26:15.604000+00:00,,active,yes,traffic slow moving and accident happening,unknown,,Old Madras Road,High,1,Halasur,East Zone 1,,3.0,Thursday,19.0,26.0,3.0,March,2024-03-07,10,2024,10_2024,0,evening,midnight,1,1.0,18,5,2,10,3,3,1.5,11.0,0.4783
