shadow_event_id,corridor,day_of_week,day_name,time_bucket,incident_count,weighted_count,severity_sum,top_cause,lat_centroid,lon_centroid,weeks_present,accident_count,recurrence_score,frequency_score,severity_score,risk_score,probability_score,seri,seri_band,risk_level,corridor_relative_score
SE0000,Non-corridor,1.0,Tuesday,midnight,206,269.0,337.1,vehicle_breakdown,12.965601850582525,77.59918216563108,21,63,0.913,1.0,1.0,1.0,1.0,96.52,Critical,High,1.0
SE0001,Non-corridor,3.0,Thursday,morning,205,207.0,240.9,vehicle_breakdown,12.975410192390243,77.60086362502439,21,2,0.913,0.9951,0.7146,0.7695,0.7695,90.62,Critical,High,0.7695
SE0002,Non-corridor,3.0,Thursday,midnight,195,200.0,218.3,vehicle_breakdown,12.977984330102565,77.60661983789744,22,5,0.9565,0.9466,0.6476,0.7435,0.7435,89.08,Critical,High,0.7435
SE0003,Non-corridor,5.0,Saturday,morning,164,181.0,212.1,vehicle_breakdown,12.958383996890245,77.60013298170732,22,17,0.9565,0.7961,0.6292,0.6729,0.6729,82.69,Critical,High,0.6729
SE0004,Non-corridor,2.0,Wednesday,midnight,171,175.0,189.6,vehicle_breakdown,12.984195611871344,77.59682472725146,21,4,0.913,0.8301,0.5624,0.6506,0.6506,80.97,High,High,0.6506
SE0005,Non-corridor,4.0,Friday,midnight,163,168.0,181.9,vehicle_breakdown,12.972975374294478,77.59913915190184,22,5,0.9565,0.7913,0.5396,0.6245,0.6245,80.7,High,High,0.6245
SE0006,Non-corridor,0.0,Monday,midnight,169,173.0,186.2,vehicle_breakdown,12.970968102366864,77.60209269100592,21,4,0.913,0.8204,0.5524,0.6431,0.6431,80.38,High,High,0.6431
SE0007,Non-corridor,5.0,Saturday,midnight,147,154.0,167.8,vehicle_breakdown,12.981871248503401,77.58080561095238,22,7,0.9565,0.7136,0.4978,0.5725,0.5725,76.76,High,Medium,0.5725
SE0008,Non-corridor,1.0,Tuesday,morning,142,150.5,174.1,vehicle_breakdown,12.993534698450706,77.59173240992958,21,9,0.913,0.6893,0.5165,0.5595,0.5595,74.42,High,Medium,0.5595
SE0009,Non-corridor,2.0,Wednesday,morning,122,127.0,138.6,vehicle_breakdown,12.993229226147541,77.58363014688524,21,5,0.913,0.5922,0.4112,0.4721,0.4721,68.43,High,Medium,0.4721
SE0010,Non-corridor,4.0,Friday,morning,124,124.0,134.6,vehicle_breakdown,12.980215680322582,77.60204011564517,20,0,0.8696,0.6019,0.3993,0.461,0.461,66.85,High,Medium,0.461
SE0011,Non-corridor,6.0,Sunday,morning,107,111.0,115.5,vehicle_breakdown,12.98081735495327,77.59151649869159,22,4,0.9565,0.5194,0.3426,0.4126,0.4126,65.89,High,Medium,0.4126
SE0012,Non-corridor,5.0,Saturday,early_morning,94,95.0,98.9,vehicle_breakdown,12.983738590106382,77.59349246212766,22,1,0.9565,0.4563,0.2934,0.3532,0.3532,62.38,High,Medium,0.3532
SE0013,Non-corridor,6.0,Sunday,midnight,89,93.0,108.8,vehicle_breakdown,12.976034988764043,77.61410694752809,22,4,0.9565,0.432,0.3228,0.3457,0.3457,62.0,High,Medium,0.3457
SE0014,Non-corridor,1.0,Tuesday,early_morning,99,110.0,122.3,vehicle_breakdown,12.988677582323234,77.60353605858586,20,11,0.8696,0.4806,0.3628,0.4089,0.4089,61.26,High,Medium,0.4089
SE0015,Non-corridor,6.0,Sunday,early_morning,84,86.0,93.4,vehicle_breakdown,12.982988527142858,77.60468357083333,22,2,0.9565,0.4078,0.2771,0.3197,0.3197,60.11,Medium,Medium,0.3197
SE0016,Non-corridor,4.0,Friday,early_morning,87,95.5,108.3,vehicle_breakdown,12.982827984482759,77.60178448,21,9,0.913,0.4223,0.3213,0.355,0.355,59.84,Medium,Medium,0.355
SE0017,Non-corridor,0.0,Monday,early_morning,72,74.0,81.9,vehicle_breakdown,12.985223437638888,77.60953678152777,22,2,0.9565,0.3495,0.243,0.2751,0.2751,57.1,Medium,Low,0.2751
SE0018,Non-corridor,2.0,Wednesday,early_morning,58,60.0,63.5,vehicle_breakdown,12.98089265724138,77.6010077786207,21,2,0.913,0.2816,0.1884,0.223,0.223,51.55,Medium,Low,0.223
SE0019,Non-corridor,3.0,Thursday,early_morning,69,72.0,78.0,vehicle_breakdown,12.971064810144927,77.59908042173913,19,3,0.8261,0.335,0.2314,0.2677,0.2677,51.07,Medium,Low,0.2677
SE0020,Non-corridor,0.0,Monday,morning,49,49.0,49.1,vehicle_breakdown,13.007640079591837,77.59367467959184,19,0,0.8261,0.2379,0.1457,0.1822,0.1822,45.47,Medium,Low,0.1822
SE0021,Non-corridor,2.0,Wednesday,afternoon,49,50.0,56.5,vehicle_breakdown,12.998723496734694,77.58193715204081,18,1,0.7826,0.2379,0.1676,0.1859,0.1859,44.17,Medium,Low,0.1859
SE0022,Mysore Road,2.0,Wednesday,midnight,43,64.5,43.0,vehicle_breakdown,12.95657206627907,77.55663923790698,19,0,0.8261,0.2087,0.1276,0.2398,0.2398,43.94,Medium,Low,0.9416
SE0023,Mysore Road,1.0,Tuesday,midnight,46,68.5,46.2,vehicle_breakdown,12.956947842173912,77.55750425956522,18,0,0.7826,0.2233,0.1371,0.2546,0.2546,42.98,Medium,Low,1.0
